Id,Gender,Birth_date,Age,Account_balance,Car_Model_Year,Engine
1,Female,01/06/1956,67,$25427.15,2020,Electric
2,Male,01/06/2000,23,$345.13,2003,Diesel
3,Male,01/06/1956,67,$14069.58,1992,Diesel
4,Male,01/06/1973,50,$11375.54,2019,Electric
5,Male,01/06/1973,50,$12352.14,2012,Gasoline
6,Male,01/06/1971,52,$17126.67,2017,Gasoline
7,Male,01/06/1952,71,$19062.03,2020,Electric
8,Female,01/06/1949,74,$12781.33,2019,Gasoline
9,Male,01/06/1975,48,$16048.15,2015,Gasoline
10,Female,01/06/1965,58,$10807.24,2018,Gasoline
11,Male,01/06/2000,23,$5677.09,2003,Diesel
12,Male,01/06/1994,29,$1904.69,2005,Diesel
13,Genderfluid,01/06/1945,78,$27837.60,2022,Electric
14,Female,01/06/1975,48,$6382.58,2915,Gasoline
15,Female,01/06/1976,47,$15581.35,2018,Gasoline
16,Female,01/06/1969,54,$12983.66,2019,Gasoline
17,Male,01/06/1995,28,$1722.50,1998,Diesel
18,Male,01/06/1964,590,$15102.25,2020,Electric
19,Male,01/06/1982,41,$12008.06,2012,Gasoline
20,Female,01/06/1982,41,$10989.45,2017,Gasoline
21,Male,01/06/1998,25,$1142.40,2000,Diesel
22,Male,01/06/1976,47,$9131.38,2009,Gasoline
23,Female,01/06/1970,53,$16371.46,2014,Gasoline
24,Female,01/06/1981,42,$16302.82,2018,Gasoline
25,Female,01/06/1971,52,$3505.50,2011,Diesel
26,Female,01/06/1967,56,$14129.93,2016,Gasoline
27,Male,01/06/1945,78,$17158.65,2021,Electric
28,Male,01/06/1945,78,$29038.15,2022,Electric
29,Female,01/06/1992,31,$11144.92,2018,Gasoline
30,Female,01/06/1952,,$14004.18,2015,Gasoline
31,Male,01/06/1999,24,$3161.88,2002,Diesel
32,Female,01/06/1990,33,$10946.49,2017,Gasoline
33,Male,01/06/1951,72,$24915.11,,Diesel
34,Male,01/06/1954,69,$18349.96,2021,Electric
35,Male,01/06/1972,51,$7135.37,2006,Diesel
36,Male,01/06/1945,78,$201438.97,1989,Diesel
37,Female,01/06/1972,51,$10625.20,1995,Diesel
38,Female,01/06/1962,61,$17458.14,2019,Gasoline
39,Male,01/06/1992,31,$1184.42,2008,Gasoline
40,Male,01/06/1998,25,$4783.10,1995,Diesel
41,Male,01/06/1966,57,$15534.66,2020,Electric
42,Male,01/06/1951,72,$17825.82,2022,Electric
43,Male,01/06/1994,29,$1538.96,2001,Diesel
44,Male,01/06/1998,25,$448.51,2002,Diesel
45,Male,01/06/1981,42,$17460.62,2013,Gasoline
46,Male,01/06/1972,51,$18299.68,1993,Diesel
47,Male,01/06/1992,31,$1614.50,1997,Diesel
48,Female,01/06/1998,25,$1349.09,1999,Diesel
49,Female,01/06/1959,64,$8660.52,,Diesel
